PURCHASE ORDER #,START SHIP DATE,END SHIP DATE,EVENT_ID,EVENT_START_DATE,EVENT_END_DATE
22466229,12/20/19,1/12/20,313652,4/11/20 8:00,4/14/20 8:00
22466230,12/20/19,1/12/20,313455,4/11/20 8:00,4/14/20 8:00
22466232,12/20/19,1/12/20,313458,4/11/20 8:00,4/14/20 8:00
22466233,12/20/19,1/12/20,313456,4/11/20 8:00,4/14/20 8:00
22466234,12/20/19,1/12/20,313656,4/11/20 8:00,4/14/20 8:00
22466235,12/20/19,1/12/20,313450,4/11/20 8:00,4/14/20 8:00
22466236,12/20/19,1/12/20,313451,4/11/20 8:00,4/14/20 8:00
22466237,12/20/19,1/12/20,313453,4/11/20 8:00,4/14/20 8:00
22466238,12/20/19,1/12/20,313658,4/11/20 8:00,4/14/20 8:00
22466240,12/20/19,1/12/20,313452,4/11/20 8:00,4/14/20 8:00
22466241,12/20/19,1/12/20,313454,4/11/20 8:00,4/14/20 8:00
22466242,12/20/19,1/12/20,313660,4/11/20 8:00,4/14/20 8:00
22466243,12/20/19,1/12/20,313463,4/11/20 8:00,4/14/20 8:00
22466244,12/20/19,1/12/20,313623,4/11/20 8:00,4/14/20 8:00
22466245,12/20/19,1/12/20,313622,4/11/20 8:00,4/14/20 8:00
22466246,12/20/19,1/12/20,313621,4/11/20 8:00,4/14/20 8:00
22466247,12/20/19,1/12/20,313620,4/11/20 8:00,4/14/20 8:00
22466248,12/20/19,1/12/20,313632,4/11/20 8:00,4/14/20 8:00
22466250,12/20/19,1/12/20,313631,4/11/20 8:00,4/14/20 8:00
22466251,12/20/19,1/12/20,313627,4/11/20 8:00,4/14/20 8:00
22466252,12/20/19,1/12/20,313633,4/11/20 8:00,4/14/20 8:00
22466253,12/20/19,1/12/20,313630,4/11/20 8:00,4/14/20 8:00
22466254,12/20/19,1/12/20,314111,4/11/20 8:00,4/14/20 8:00
22466255,12/20/19,1/12/20,313654,4/11/20 8:00,4/14/20 8:00
22466256,12/20/19,1/12/20,313651,4/11/20 8:00,4/14/20 8:00
22466257,12/20/19,1/12/20,313642,4/11/20 8:00,4/14/20 8:00
22466258,12/20/19,1/12/20,313647,4/11/20 8:00,4/14/20 8:00
22466259,12/20/19,1/12/20,313645,4/11/20 8:00,4/14/20 8:00
22466260,12/20/19,1/12/20,313643,4/11/20 8:00,4/14/20 8:00
22466262,12/20/19,1/12/20,313644,4/11/20 8:00,4/14/20 8:00
22466263,12/20/19,1/12/20,313466,4/11/20 8:00,4/14/20 8:00
22466264,12/20/19,1/12/20,313465,4/11/20 8:00,4/14/20 8:00
22466265,12/20/19,1/12/20,313467,4/11/20 8:00,4/14/20 8:00
22466266,12/20/19,1/12/20,313626,4/11/20 8:00,4/14/20 8:00
22466268,12/20/19,1/12/20,313628,4/11/20 8:00,4/14/20 8:00
22466269,12/20/19,1/12/20,313629,4/11/20 8:00,4/14/20 8:00
22466271,12/20/19,1/12/20,313634,4/11/20 8:00,4/14/20 8:00
22466272,12/20/19,1/12/20,313636,4/11/20 8:00,4/14/20 8:00
22466274,12/20/19,1/12/20,313637,4/11/20 8:00,4/14/20 8:00
22466275,12/20/19,1/12/20,313638,4/11/20 8:00,4/14/20 8:00
22466276,12/20/19,1/12/20,313639,4/11/20 8:00,4/14/20 8:00
22466277,12/20/19,1/12/20,313640,4/11/20 8:00,4/14/20 8:00
22466278,12/20/19,1/12/20,313641,4/11/20 8:00,4/14/20 8:00
22466279,12/20/19,1/12/20,313648,4/11/20 8:00,4/14/20 8:00
22466280,12/20/19,1/12/20,313649,4/11/20 8:00,4/14/20 8:00
22466281,12/20/19,1/12/20,313653,4/11/20 8:00,4/14/20 8:00
22466282,12/20/19,1/12/20,313655,4/11/20 8:00,4/14/20 8:00
22466283,12/20/19,1/12/20,313659,4/11/20 8:00,4/14/20 8:00
22466284,12/20/19,1/12/20,313661,4/11/20 8:00,4/14/20 8:00
22466286,12/20/19,1/12/20,313662,4/11/20 8:00,4/14/20 8:00
22466287,12/20/19,1/12/20,313663,4/11/20 8:00,4/14/20 8:00
22466288,12/20/19,1/12/20,313664,4/11/20 8:00,4/14/20 8:00
22466289,12/20/19,1/12/20,313665,4/11/20 8:00,4/14/20 8:00
22466290,12/20/19,1/12/20,313666,4/11/20 8:00,4/14/20 8:00
22466291,12/20/19,1/12/20,313672,4/11/20 8:00,4/14/20 8:00
22466292,12/20/19,1/12/20,313673,4/11/20 8:00,4/14/20 8:00
22466294,12/20/19,1/12/20,313674,4/11/20 8:00,4/14/20 8:00
22466295,12/20/19,1/12/20,313675,4/11/20 8:00,4/14/20 8:00
22466296,12/20/19,1/12/20,313476,4/11/20 8:00,4/14/20 8:00
22466297,12/20/19,1/12/20,313676,4/11/20 8:00,4/14/20 8:00
22466298,12/20/19,1/12/20,313682,4/11/20 8:00,4/14/20 8:00
22466299,12/20/19,1/12/20,313684,4/11/20 8:00,4/14/20 8:00
22466300,12/20/19,1/12/20,313769,4/11/20 8:00,4/14/20 8:00
22466301,12/20/19,1/12/20,313778,4/11/20 8:00,4/14/20 8:00
22466302,12/20/19,1/12/20,313779,4/11/20 8:00,4/14/20 8:00
22466303,12/20/19,1/12/20,313849,4/11/20 8:00,4/14/20 8:00
22466304,12/20/19,1/12/20,313780,4/11/20 8:00,4/14/20 8:00
22466311,12/20/19,1/12/20,313781,4/11/20 8:00,4/14/20 8:00
22466312,12/20/19,1/12/20,313782,4/11/20 8:00,4/14/20 8:00
22466313,12/20/19,1/12/20,313788,4/11/20 8:00,4/14/20 8:00
22466314,12/20/19,1/12/20,313789,4/11/20 8:00,4/14/20 8:00
22466315,12/20/19,1/12/20,313844,4/11/20 8:00,4/14/20 8:00
22466316,12/20/19,1/12/20,313846,4/11/20 8:00,4/14/20 8:00
22466736,12/20/19,1/12/20,313847,4/11/20 8:00,4/14/20 8:00
22467053,12/20/19,1/12/20,313481,4/11/20 8:00,4/14/20 8:00
22467055,12/20/19,1/12/20,313480,4/11/20 8:00,4/14/20 8:00
22467056,12/20/19,1/12/20,313851,4/11/20 8:00,4/14/20 8:00
22467057,12/20/19,1/12/20,313479,4/11/20 8:00,4/14/20 8:00
22467059,12/20/19,1/12/20,313852,4/11/20 8:00,4/14/20 8:00
22467060,12/20/19,1/12/20,313853,4/11/20 8:00,4/14/20 8:00
22467061,12/20/19,1/12/20,313483,4/11/20 8:00,4/14/20 8:00
22467062,12/20/19,1/12/20,313854,4/11/20 8:00,4/14/20 8:00
22467065,12/20/19,1/12/20,313857,4/11/20 8:00,4/14/20 8:00
22467067,12/20/19,1/12/20,313482,4/11/20 8:00,4/14/20 8:00
22467068,12/20/19,1/12/20,313858,4/11/20 8:00,4/14/20 8:00
22467069,12/20/19,1/12/20,313861,4/11/20 8:00,4/14/20 8:00
22467070,12/20/19,1/12/20,313864,4/11/20 8:00,4/14/20 8:00
22467071,12/20/19,1/12/20,313865,4/11/20 8:00,4/14/20 8:00
22467072,12/20/19,1/12/20,313867,4/11/20 8:00,4/14/20 8:00
22467073,12/20/19,1/12/20,313869,4/11/20 8:00,4/14/20 8:00
22467074,12/20/19,1/12/20,313871,4/11/20 8:00,4/14/20 8:00
22467075,12/20/19,1/12/20,313873,4/11/20 8:00,4/14/20 8:00
22467076,12/20/19,1/12/20,314245,4/11/20 8:00,4/14/20 8:00
22467077,12/20/19,1/12/20,313875,4/11/20 8:00,4/14/20 8:00
22467078,12/20/19,1/12/20,313876,4/11/20 8:00,4/14/20 8:00
22467079,12/20/19,1/12/20,313880,4/11/20 8:00,4/14/20 8:00
22467080,12/20/19,1/12/20,313881,4/11/20 8:00,4/14/20 8:00
